maximum,最大、最大の,The maximum speed on this road is 60 kilometers.
pan,フライパン,He cooked the eggs in a frying pan.
improvement,改善、改良,There has been a great improvement in his English.
genius,天才,Everyone said the young pianist was a genius.
credit,信用,He paid for the trip with his credit card.
debt,借金,負債,She worked hard to pay off her debt.
resource,資源 資産,Water is a precious natural resource.
therapy,治療,She went to therapy to help with her stress.
glance,一目見る/一目,He took a quick glance at his watch.
storage,保管,We rented extra storage for our old furniture.
academic,学術の、大学の,She is doing well in her academic studies.
permit,を許可する,You need a permit to build a house here.
concern,心配する。に関係する,I have some concern about the new plan.
strain,張る,He felt a strain in his back after lifting the box.
role,役割,Everyone has an important role to play in the team.
nowhere,どこにも,There was nowhere to sit in the crowded train.
recent,最近の、新しい,This is a recent photo of my family.
mate,友達、仲間,He went out with his classmates.
distinguish,を区別する,It is hard to distinguish between the two colors.
sophisticated,洗練された,The restaurant has a sophisticated atmosphere.
upset,気持ちが動揺した、ひっくり返す,She was upset about losing the game.
disturb,を阻害する。(人の)邪魔をする,Please don't disturb him while he is studying.
invest,に投資する,They decided to invest in a new business.
intense,激しい、熱心な,The movie had an intense and exciting ending.
retire,退職する。引退する,My grandfather plans to retire next year.
wildlife,野生動物,We saw a lot of wildlife on our camping trip.
polite,礼儀正しい,He is always polite to everyone he meets.
entertain,を楽しませる,The clown entertained the children at the party.
competition,競争,There was strong competition among the players.
inquiry,問い合わせ、質問,She made an inquiry about the flight schedule.
period,期間,They stayed there for a long period of time.
bind,縛りつける、束ねる,She used a ribbon to bind the flowers together.
certain,ある、確信している,I am certain that he will win the race.
passenger,乗客,The passenger fell asleep during the long flight.
behavior,振る舞い、態度,His strange behavior surprised his classmates.
meanwhile,一方で、他方で,"Meanwhile, the other team was preparing for the game."
earn,稼ぐ,She works hard to earn extra money.
enter,入る,Please enter the room quietly.
complex,複雑な、複合の,The math problem was too complex for me.
moreover,さらに、その上,"Moreover, the hotel offers a free breakfast."
structure,構造,建造物,The structure of the building is very unique.
annoy,いらだたせる,Loud noises really annoy me.
direction,方向,方角,I lost my sense of direction in the forest.
influence,影響/影響を及ぼす,Her parents had a big influence on her decisions.
rapidly,素早く,The number of tourists is rapidly increasing.
detail,詳細,Could you explain that in more detail?
culture,文化,教養,Every country has its own unique culture.
prior,優先の、前の,This ticket has priority over regular tickets.
fire,首にする、火をつける/火、火事,Firefighters worked hard to put out the fire.
assessment,評価、査定,The teacher made an assessment of the students' work.
engaged,に従事して、忙しくして,He is engaged in an important research project.
regret,後悔する/後悔,遺憾,I regret not studying harder for the test.
excuse,言い訳/を許す,He gave a weak excuse for being late.
court,裁判所,中庭,The trial will be held in court next week.
solve,を解決する,It took him a long time to solve the puzzle.
threaten,を脅かす,The dark clouds threatened to bring heavy rain.
enable,に可能にさせる,This app will enable you to learn new words easily.
unfortunately,残念なことに、不幸にも,"Unfortunately, the concert was canceled due to rain."
representation,表現,The graph gives a clear representation of the data.
procedure,手続き、手順,Please follow the correct procedure when applying.
expectation,期待,予想,The results were better than our expectation.
asset,資産,"He has many valuable assets, including a house and a car."
dump,投げ捨てる,Please don't dump garbage in this area.
citizen,市民,国民,Every citizen has the right to vote.
occupation,職業,She has an interesting occupation as a pilot.
restore,を元に戻す。を修復する,They worked hard to restore the old castle.
significance,重要性,The discovery had great significance for medical science.
flow,流れる,The river continues to flow into the sea.
failure,失敗,He learned a lot from his failure.
earnings,収益、稼ぎ,The company's earnings increased this year.
disease,病気,疾患,This disease can be prevented with proper care.
peer,同僚,仲間,She talked with her peers about the school project.
strategy,戦略,The company changed its business strategy.
remarkable,目立った,She made a remarkable recovery after the surgery.
heel,かかと,He hurt his heel while running.
definitely,絶対に、確実に,I will definitely come to your birthday party.
ordinary,ふつうの、いつもの,It was just an ordinary day at school.
isolate,を孤立させる、隔離する,The sick patient had to be isolated from others.
competitive,競争力のある、競争による,The market has become more competitive recently.
progress,進歩,前進,We have made great progress on this project.
typical,典型的な,It is typical for teenagers to enjoy loud music.
compete,競争する,The two teams will compete for the championship.
assault,暴行,攻撃,He was arrested for the assault on his neighbor.
conviction,信念,He has a strong conviction that honesty is important.
terrible,ひどい、恐ろしい,The weather was terrible during our trip.
bill,請求書,Please pay this bill by the end of the month.
pain,痛み、苦痛,She felt a sharp pain in her leg.
emphasize,を強調する。力説する,The teacher emphasized the importance of practice.
weather,天候,天気,The weather was perfect for a picnic.
immigrant,移民,Many immigrants come to this country looking for work.
interpret,を解釈する、受け取る,It is hard to interpret his true feelings.
thick,厚い,The book is too thick to finish in one day.
merchant,商人,The merchant sold spices from many countries.
physics,物理学,He is studying physics at university.
trigger,引き金,Loud noises can trigger her headaches.
status,状態,身分,His social status changed after he got the new job.
worth,の価値がある。(~するに)値する,This old book is worth a lot of money.
relation,関係性,There is a close relation between diet and health.
later,後に,I will call you back later.
political,政治の,He is interested in political issues.
truth,真実,"She always tells the truth, even when it's hard."
partly,部分的に,The problem was partly caused by the bad weather.
observe,を観察する,Scientists observe the stars through a telescope.
stream,流れ,A small stream flows through the forest.
oppose,反対する,Many citizens oppose the new tax plan.
quite,かなり,It is quite cold outside today.
conscious,意識して,He became conscious of his mistake.
intend,意図する,I intend to study medicine in the future.
operation,操作,作用,The doctor performed a difficult operation.
recommend,を推薦する、を勧める,I recommend this restaurant to all my friends.
feature,特徴/を目玉とする,This phone has many useful features.
consideration,考慮,考察,"After careful consideration, she chose the smaller apartment."
diet,食事,食事療法,He is on a strict diet to lose weight.
horror,恐怖,The movie was full of horror and suspense.
population,人口,国民,The population of the city has grown quickly.
necessarily,必然的に,Success is not necessarily about money.
agree,同意する,I agree with your opinion on this matter.
whether,どちらか,I don't know whether he will come or not.
analysis,分析,The scientist did a careful analysis of the data.
conflict,対立、争い,There was a conflict between the two groups.
extreme,極端な,"The weather was extreme, with heavy snow and strong wind."
wherever,どこでも,You can call me wherever you are.
source,情報源,原因,This news comes from a reliable source.
objective,目標、目的地,Her main objective is to become a doctor.
rural,田舎の,He grew up in a small rural town.
headline,見出し、表題,The newspaper headline caught everyone's attention.
analyst,分析者,The financial analyst gave advice about the stock market.
sign,標識,印,合図,There was no sign of life on the island.
clue,手がかり、糸口,The police found an important clue at the scene.
controversial,議論の的になる、論争上の,The new law became a controversial topic.
realize,だとわかる、実現する,He didn't realize how late it was.
surround,を取り囲む、を包囲する,Mountains surround the small village.
commission,手数料,委任状,The city set up a commission to study the problem.
seek,求める、捜し出す,They continue to seek a peaceful solution.
independent,独立した,She wants to become financially independent.
proposed,提案した,The city approved the proposed plan for a new park.
international,国際的な,Many international students study at this university.
several,幾つかの,Several students were absent from class today.
theory,理論,学説,He has an interesting theory about the universe.
fellow,仲間,He met his old fellow from college.
elderly,年配の,We should take care of elderly people in our community.
extension,拡張,延長,The city built an extension to the library.
proper,適切な、ふさわしい,You should use the proper tools for the job.
enhance,強調する。(さらに)高める,Good lighting can enhance the beauty of a room.
beyond,~を越えたところに,The sound traveled beyond the mountains.
hear from,から便りがある、連絡をもらう,I haven't heard from him in a long time.
due,期限の、納期の,The rent is due at the end of the month.
existing,既存の,They plan to renovate the existing building.
expand,拡大する、広がる,The company wants to expand into new markets.
wrong,間違い、誤った,It is wrong to tell lies.
rebel,反逆者,The soldiers tried to rebel against the government.
suffer,を患う、苦しむ,She continues to suffer from back pain.
within,以内で,The keys are within the drawer.
taste,味/な味がする,This dish has a sweet and sour taste.
democrat,民主主義者,He supports the Democrat candidate in the election.
personally,個人的に、本人自ら,I don't personally agree with his decision.
throughout,至るところに、終始,She traveled throughout Europe last summer.
preserve,保存/を保存する,We must preserve nature for future generations.
intelligent,かしこい、知能の高い,Dolphins are considered highly intelligent animals.
slide,滑る,He hurt his leg when he tried to slide into base.
popular,人気のある,This song is very popular among teenagers.
murder,殺人,The police are investigating a murder case.
attend,出席する、付き添う,She couldn't attend the meeting because of a cold.
constantly,常に,He constantly checks his phone for messages.
drift,漂流,The boat began to drift out to sea.
result,結果,The result of the exam surprised everyone.
priority,優先度,優先権,Health should be our top priority.
joint,継目、関節,They created a joint project between two schools.
viewer,観察者,視聴者,The number of TV viewers has increased.
satellite,衛星,The satellite sends signals to Earth.
distant,遠く離れた,They live in a distant country.
delivery,配達,The delivery of the package was delayed.
anxious,心配して、不安な,She felt anxious before the interview.
towards,の方へ,The boat sailed towards the harbor.
employee,従業員,He is a hard-working employee at the company.
significant,重要な,There is a significant difference between the two plans.
particular,特定の,He has a particular interest in ancient history.
pick up,拾う,Could you pick up some milk on your way home?
criticism,批判,He received a lot of criticism for his speech.
appear,現れる,A rainbow appeared after the storm.
permission,許可,認可,You need permission to enter this area.
virus,ウイルス,The doctor warned about the dangers of the virus.
deny,を否定する,He denied that he had broken the window.
valuable,貴重な、価値のある,Time is more valuable than money.
comprehensive,包括的な、理解力のある,She gave a comprehensive report on the project.
till,まで,Please wait till the meeting is over.
properly,適切に,Make sure you fill out the form properly.
vulnerable,傷つきやすい,Old people can be vulnerable to the cold weather.
directly,直接,直接的に,You can contact me directly by phone.
occupy,占める,Soldiers occupied the small village during the war.
curious,好奇心が強い,She is curious about how things work.
vary,多様化する、異なる,Prices vary depending on the season.
stare,じっと見つめる,He continued to stare at the painting.
decade,10年間,They have lived in this town for a decade.
armed,武装した,The building was guarded by armed police.
seem,の様に見える、思われる,It seems that he has already left.
fate,運命,宿命,It was his fate to become a great leader.
convince,を納得させる,His confidence helped to convince us of his plan.
criminal,犯罪の,The criminal was arrested by the police.
stable,安定した,His job gives him a stable income.
naked,裸の,The children swam naked in the river when they were little.
Jewish,ユダヤ人,There is a large Jewish community in the city.
senate,上院,The senate voted on the new law.
hide,隠す。隠れる,The cat tried to hide under the bed.
recovery,回復,His recovery from the injury took several months.
bond,拘束、束縛,There is a strong bond between the two friends.
portrait,肖像画,The artist painted a beautiful portrait of the queen.
intervention,介在,仲裁,The doctor's early intervention saved the patient's life.
consistent,一貫した。矛盾のない,He gives a consistent effort in everything he does.
investigator,捜査官,The investigator searched for more evidence.
normally,通常は、普通に,I normally wake up at seven o'clock.
conclude,を締めくくる、終える,The teacher asked us to conclude our essays.
well-known,よく知られた、有名な,He is a well-known singer in Japan.
development,発展、発達,開発,The development of the new drug took many years.
desire,願望/切望する,She has a strong desire to become a doctor.
probably,おそらく,He will probably arrive late because of the traffic.
respond,反応する、と返答する,She didn't respond to my email.
involvement,関与、関わり合い,His involvement in the project was very important.
minister,大臣,牧師,The prime minister gave a speech yesterday.
patch,当て布、布切れ,He sewed a patch on his old jeans.
chairman,会長,He was elected chairman of the committee.
ethnic,民族の、民族特有の,The city is home to many different ethnic groups.
lap,ひざ,The cat slept on my lap all afternoon.
refer,を参考にする、参照する,Please refer to page ten for more information.
repair,を修理する、修繕する,We need to repair the broken window.
current,現在の、現行の,What is the current situation at the office?
obviously,明らかに、明白に,"Obviously, he didn't study for the test."
ceiling,天井,There is a crack in the ceiling.
philosopher,哲学者,The famous philosopher wrote many books about life.
suicide,自殺,The organization works to prevent suicide among young people.
social,社会の,Social media has changed the way people communicate.
potential,潜在的な,He has the potential to become a great athlete.
sum,合計,The sum of two and three is five.
draw,描く、引っ張る,She likes to draw pictures of animals.
rough,ごつごつした、粗い,The road was rough and full of stones.
fundamental,基本的な、基礎の,Honesty is a fundamental value in our family.
association,協会連合,He joined an association for young musicians.
yield,産出する。生ずる,The new policy is expected to yield good results.
politician,政治家,The politician made a promise to lower taxes.
department,部門,She works in the marketing department.
palm,手のひら,He held the small bird gently in his palm.
phenomenon,現象,Rainbows are a beautiful natural phenomenon.
admit,を認める、入ることを許す,He admitted that he had made a mistake.
critical,極めて重要な、批判的な,The doctor said his condition was critical.
throat,のど,She had a sore throat and couldn't speak.
adapt,に適合させる,It took him a while to adapt to the new school.
largely,主として,The success of the project was largely due to teamwork.
belong,に属する,This book belongs to the school library.
attempt,試み,He made an attempt to fix the computer himself.
impress,感銘を与える,Her performance really impressed the judges.
submit,を提出する。に服従する,Please submit your homework by Friday.
bored,退屈した,The students looked bored during the long lecture.
electric,電気の,We bought a new electric car last month.
civilized,発達した文明をもつ、教養の高い,Ancient Rome was a highly civilized society.
combat,戦闘,The two countries have been in combat for years.
destruction,破壊,The storm caused a lot of destruction in the town.
ally,と同盟する,The two countries became close allies after the war.
similarly,同様に,"Similarly, the second experiment gave the same result."
complete,完全な、全部の,He finally completed the marathon after five hours.
complicated,複雑な,The math problem was too complicated for me.
mad,狂った,He was mad at his brother for breaking his toy.
hate,ひどく嫌う,I hate waiting in long lines.
urban,都会の,More people are moving to urban areas.
reputation,評判,The restaurant has a good reputation for its food.
phase,段階,The project is now in its final phase.
philosophy,哲学,She studies philosophy at university.
shooting,撮影,射撃,The news reported a shooting in the city center.
include,を含む,The price includes tax and delivery.
medium,中間の,Social media is a powerful medium for communication.
contemporary,現在の、現代の,This is a piece of contemporary art.
jury,陪審員,The jury decided the man was not guilty.
huge,巨大な、莫大な,They live in a huge house near the beach.
die,死ぬ,Many plants die without enough water.
examine,を検査する,The doctor will examine you now.
element,要素,元素,Water is a key element of life.
mainly,主に、もっぱら,He is mainly interested in science and math.
success,成功,Hard work is the key to success.
exist,存在する。実在する,Dinosaurs no longer exist today.
gentle,穏やかな、物柔らかな,She has a gentle way of speaking to children.
occasion,特定の時、行事,祭典,We only meet on special occasions.
accompany,に付き添う。に同行する,Her mother will accompany her to the hospital.
virtually,実質的に,The plan is virtually impossible to carry out.
withdraw,を撤回する、引き下がる/引き出す,He decided to withdraw money from the bank.
leisure,余暇,She spends her leisure time reading novels.
representative,代表者,代理人,He is a representative of the student council.
mass,塊,大部分,The mass of the object was measured carefully.
honest,正直な,He is known for being honest and fair.
